feature,importance
monthly_income,3.1811783517324836
expense_ratio,2.0978529942938797
credit_score,1.5079111906097598
total_expenses,1.4913025383526186
investment_ratio,1.1833555736399597
loan_emi,0.8755372533741035
housing_rent,0.7489602589138905
investments,0.6689732798382182
shopping,0.6265510932574668
groceries,0.5367908426486347
education_High School,0.4762458351545011
dining_out,0.46196071401977307
transport,0.35489527394275266
occupation_Business Owner,0.3351145891864205
healthcare,0.31583280506516004
