user_id,month,age,gender,education,occupation,city_tier,monthly_income,housing_rent,groceries,utilities,transport,dining_out,entertainment,healthcare,education_expense,shopping,investments,loan_emi,miscellaneous,total_expenses,monthly_savings,savings_rate,expense_ratio,investment_ratio,has_loan,credit_score,savings_risk,age_group,month_str
USR0001,2023-03-01,60,Female,Bachelor's,Salaried,Tier 3,76958,18682,2679,1447,4877,5730,5821,2244,462,12443,1729,0,3192,57577,17652,22.94,74.82,2.25,0,605,Low Risk,51-65,2023-03
USR0002,2022-04-01,50,Female,High School,Student,Tier 3,34238,7977,5252,1084,4410,9836,2166,3183,1962,3854,3965,10150,4629,54503,0,0.0,159.19,11.58,1,434,High Risk,41-50,2022-04
USR0003,2023-03-01,36,Female,PhD,Business Owner,Tier 1,95737,17215,3835,3362,7407,5334,2556,550,93,4974,19674,0,1106,46432,29631,30.95,48.5,20.55,0,647,Low Risk,31-40,2023-03
USR0004,2022-07-01,64,Male,Master's,Freelancer,Tier 1,51281,17515,4177,2120,5693,2046,5169,4482,1020,3897,2488,15015,1781,62915,0,0.0,122.69,4.85,1,485,High Risk,51-65,2022-07
USR0005,2022-04-01,29,Male,Master's,Salaried,Tier 2,60582,13986,10142,3855,952,2645,5872,3618,3374,5917,1381,5233,1804,57398,1803,2.98,94.74,2.28,1,472,High Risk,22-30,2022-04
USR0006,2022-03-01,42,Male,PhD,Freelancer,Tier 3,65748,21372,2148,2849,4642,2663,2450,4030,1375,4268,5414,3956,769,50522,9812,14.92,76.84,8.23,1,529,Medium Risk,41-50,2022-03
USR0007,2023-11-01,60,Female,High School,Business Owner,Tier 1,86263,16206,3495,1655,2111,3512,3687,2167,1131,6781,8386,5024,1745,47514,30363,35.2,55.08,9.72,1,623,Low Risk,51-65,2023-11
USR0008,2023-02-01,40,Female,Bachelor's,Freelancer,Tier 1,46021,11945,3744,3691,3667,4944,341,4604,354,12912,3523,0,1108,47310,0,0.0,102.8,7.66,0,509,High Risk,31-40,2023-02
USR0009,2022-06-01,44,Male,High School,Salaried,Tier 3,35968,5567,3646,2251,7581,3923,1203,2424,468,3481,1216,2544,4662,37750,0,0.0,104.95,3.38,1,437,High Risk,41-50,2022-06
USR0010,2024-09-01,32,Female,Bachelor's,Self-Employed,Tier 1,61360,18582,4995,3707,2578,7679,2354,4722,94,6021,3847,10924,4283,65939,0,0.0,107.46,6.27,1,441,High Risk,31-40,2024-09
USR0011,2022-09-01,32,Male,Bachelor's,Business Owner,Tier 2,87883,23392,8643,3175,3081,4059,2214,2987,867,13267,14990,11589,3540,76814,0,0.0,87.4,17.06,1,535,High Risk,31-40,2022-09
USR0012,2022-12-01,45,Female,Bachelor's,Self-Employed,Tier 2,43313,11916,11864,3120,2564,3186,4824,4826,90,3972,4178,5799,2625,54786,0,0.0,126.49,9.65,1,441,High Risk,41-50,2022-12
USR0013,2024-11-01,57,Male,Bachelor's,Self-Employed,Tier 2,57411,9205,9378,3076,7879,2832,3808,4543,1067,3117,9078,0,3418,48323,10,0.02,84.17,15.81,0,494,High Risk,51-65,2024-11
USR0014,2024-07-01,61,Male,High School,Self-Employed,Tier 2,51609,9919,10849,2581,6279,6566,1168,4511,1479,5981,6919,0,2365,51698,0,0.0,100.17,13.41,0,486,High Risk,51-65,2024-07
USR0015,2022-03-01,45,Female,High School,Self-Employed,Tier 2,47415,7817,5667,1031,1758,2156,4125,637,954,6709,6508,0,1213,32067,8840,18.64,67.63,13.73,0,603,Medium Risk,41-50,2022-03
USR0016,2024-12-01,24,Male,High School,Salaried,Tier 2,48673,10113,11245,1731,4987,7279,4158,2558,900,3999,3024,0,3406,50376,0,0.0,103.5,6.21,0,483,High Risk,22-30,2024-12
USR0017,2023-01-01,43,Male,PhD,Self-Employed,Tier 2,78127,21523,2576,2493,7650,6538,2935,4054,22,7495,10186,21776,2072,79134,0,0.0,101.29,13.04,1,495,High Risk,41-50,2023-01
USR0018,2023-01-01,23,Male,Master's,Salaried,Tier 2,66772,17576,6779,2197,853,9236,1004,582,2770,8381,393,0,405,49783,16596,24.85,74.56,0.59,0,595,Low Risk,22-30,2023-01
USR0019,2024-10-01,45,Female,PhD,Salaried,Tier 2,65118,17740,10187,3870,4900,9083,1534,4416,22,4092,7028,19254,1015,76113,0,0.0,116.88,10.79,1,452,High Risk,41-50,2024-10
USR0020,2023-09-01,51,Female,Bachelor's,Salaried,Tier 1,46604,12110,4972,2045,6218,5789,4184,606,1257,9123,6671,0,265,46569,0,0.0,99.92,14.31,0,481,High Risk,51-65,2023-09
USR0021,2024-10-01,59,Male,Bachelor's,Self-Employed,Tier 1,66086,13521,9756,3665,6169,6720,867,4540,1721,6554,3006,19386,4245,77144,0,0.0,116.73,4.55,1,451,High Risk,51-65,2024-10
USR0022,2024-04-01,23,Female,Master's,Salaried,Tier 1,74933,14904,5948,1937,4136,796,584,265,7116,7772,4806,4253,2251,49962,20165,26.91,66.68,6.41,1,611,Low Risk,22-30,2024-04
USR0023,2024-11-01,42,Female,Bachelor's,Freelancer,Tier 1,48703,8640,8544,870,2063,6973,3324,3189,1440,9804,2672,0,202,45049,982,2.02,92.5,5.49,0,510,High Risk,41-50,2024-11
USR0024,2023-02-01,54,Male,Bachelor's,Freelancer,Tier 2,44477,14224,4045,908,6208,1586,1808,427,1356,5196,784,11304,524,47586,0,0.0,106.99,1.76,1,510,High Risk,51-65,2023-02
USR0025,2023-06-01,33,Male,Bachelor's,Salaried,Tier 3,58768,16061,3627,1906,6544,6859,3454,2384,574,13643,5110,3719,804,59575,0,0.0,101.37,8.7,1,463,High Risk,31-40,2023-06
